id	filename	md5	size	state
40d3a644-b8bf-425d-9da8-7ec85513f188	40d3a644-b8bf-425d-9da8-7ec85513f188/jhu-usc.edu_GBM.HumanMethylation450.9.lvl-3.TCGA-19-4065-01A-01D-2004-05.gdc_hg38.txt	bb6a8f8b65ebb0b76b220aad9d523455	141291219	live
412b11c8-f253-4bcb-a581-530b0d463e63	412b11c8-f253-4bcb-a581-530b0d463e63/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-27-1837-01A-01D-0788-05.gdc_hg38.txt	264e4edd3b32b4b68125ef45d7ec03f1	9954992	live
454e493e-9022-4a07-8364-91661bf81de0	454e493e-9022-4a07-8364-91661bf81de0/jhu-usc.edu_GBM.HumanMethylation27.2.lvl-3.TCGA-14-0789-01A-01D-0392-05.gdc_hg38.txt	0b3deeb88f2d0ccc11354d23f9795f29	9953226	live
47372890-0221-4113-9e6e-9ec0119af5bc	47372890-0221-4113-9e6e-9ec0119af5bc/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-06-2561-01A-02D-0788-05.gdc_hg38.txt	2565c8d038bbf54de45e655391c53cd7	9953436	live
47bbc7b1-3802-425e-83c8-6270c5c77208	47bbc7b1-3802-425e-83c8-6270c5c77208/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-32-2638-01A-01D-0915-05.gdc_hg38.txt	f0f8ce5ef89a86270754b1105877eb0b	9951306	live
480419d5-e923-4871-971c-0bd5c541811e	480419d5-e923-4871-971c-0bd5c541811e/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-06-2567-01A-01D-0788-05.gdc_hg38.txt	76fac1409f8f4cc8e88141a5e9907e67	9954010	live
494d0828-a02a-4c19-a21d-c81019d88d86	494d0828-a02a-4c19-a21d-c81019d88d86/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-41-2571-01A-01D-0915-05.gdc_hg38.txt	50f997c4065c43c3f2fca49ccf223381	9952042	live
498690a2-5695-4e34-a279-361bb3064446	498690a2-5695-4e34-a279-361bb3064446/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-06-2563-01A-01D-0788-05.gdc_hg38.txt	6dd83c3697913f691fccfe9337627fbd	9952011	live
4a2816a5-3ab0-4a8b-b955-444e67633210	4a2816a5-3ab0-4a8b-b955-444e67633210/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-26-5136-01B-01D-1481-05.gdc_hg38.txt	b7ef05b42bce9b97a6e4ec3071f86354	141291157	live
4c9d37de-6475-4f28-a4d0-c2fb3f7347ba	4c9d37de-6475-4f28-a4d0-c2fb3f7347ba/jhu-usc.edu_GBM.HumanMethylation27.9.lvl-3.TCGA-41-4097-01A-01D-1228-05.gdc_hg38.txt	5b9eed4455b355658a0da75717162244	9950253	live
4eee075f-3997-45b1-baaa-89135b592323	4eee075f-3997-45b1-baaa-89135b592323/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-19-1787-01B-01D-0915-05.gdc_hg38.txt	ca8fbfb3045aa72a9583f9845edfdba8	9951991	live
4f36374a-cb6d-4549-9883-99598f52e3c8	4f36374a-cb6d-4549-9883-99598f52e3c8/jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-1804-01A-01D-1697-05.gdc_hg38.txt	75fee2ff0da2a6e5832663ccf2a38097	141295162	live
4f8b0cd3-813e-4a25-bca4-3c489e82a649	4f8b0cd3-813e-4a25-bca4-3c489e82a649/jhu-usc.edu_GBM.HumanMethylation27.2.lvl-3.TCGA-06-0882-01A-01D-0392-05.gdc_hg38.txt	c0e4e9b26944e9f9c9bc55d471e49a65	9955271	live
50329a11-75c5-43c1-a296-a14ed88bd633	50329a11-75c5-43c1-a296-a14ed88bd633/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-76-4931-01A-01D-1481-05.gdc_hg38.txt	92b144e6b63ea5e716dc2138d76683fe	141291851	live
51fa9cff-976c-40fd-b825-66b6393e96a5	51fa9cff-976c-40fd-b825-66b6393e96a5/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-28-2499-01A-01D-0788-05.gdc_hg38.txt	a3a9ebc7c820af5b1fa2264771275b36	9952845	live
537d85a4-ec4a-4a94-b0de-1a513507c016	537d85a4-ec4a-4a94-b0de-1a513507c016/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-12-3653-01A-01D-0915-05.gdc_hg38.txt	1ca38ded377a29492bb29a3419d35958	9951152	live
543cb1f9-4043-4b3c-88ef-f54ef8780606	543cb1f9-4043-4b3c-88ef-f54ef8780606/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-28-5216-01A-01D-1481-05.gdc_hg38.txt	b30a01c4c374c2b2d16869b48197d6e1	141299486	live
54b80948-5b21-4f5e-b94b-c72126135a5b	54b80948-5b21-4f5e-b94b-c72126135a5b/jhu-usc.edu_GBM.HumanMethylation27.2.lvl-3.TCGA-14-0817-01A-01D-0392-05.gdc_hg38.txt	a31ef99ec2fece49ab3297cf987846d9	9954593	live
58aa583b-97ec-4efa-b1db-76ad020581ae	58aa583b-97ec-4efa-b1db-76ad020581ae/jhu-usc.edu_GBM.HumanMethylation450.2.lvl-3.TCGA-06-0211-01A-01D-A45W-05.gdc_hg38.txt	4c7193562ab65bb061e642ddeb13b96c	141287753	live
5bf486b0-cd89-450a-8c7e-382ec5f20da1	5bf486b0-cd89-450a-8c7e-382ec5f20da1/jhu-usc.edu_GBM.HumanMethylation27.5.lvl-3.TCGA-27-1830-01A-01D-0595-05.gdc_hg38.txt	480ad1c3dac1a3ca09c4e6cd2bdce18d	9951649	live
5c3e021e-cb23-439f-b917-8d284b96db76	5c3e021e-cb23-439f-b917-8d284b96db76/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-06-5418-01A-01D-1481-05.gdc_hg38.txt	1f11d1ec4b90f0c72f173f357e9a740d	141295466	live
5c9d2bcd-5cc7-46cd-90de-5e9f420d8e7c	5c9d2bcd-5cc7-46cd-90de-5e9f420d8e7c/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-26-5133-01A-01D-1481-05.gdc_hg38.txt	8f3ca49cbb5d2266683c46b63904fe3c	141287348	live
5e5c9b8a-e73e-4823-93d7-99285fc6e268	5e5c9b8a-e73e-4823-93d7-99285fc6e268/jhu-usc.edu_GBM.HumanMethylation27.9.lvl-3.TCGA-41-2572-01A-01D-1228-05.gdc_hg38.txt	b66da5e49e3cca92b567e7609cda9037	9951084	live
61231f86-e200-4271-aa6c-4be8bcfe4ee6	61231f86-e200-4271-aa6c-4be8bcfe4ee6/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-28-2514-01A-02D-0788-05.gdc_hg38.txt	11ce25413f5be5cd61cb1698ea5ff8e0	9953289	live
63402552-1706-41b4-9c76-545f65486d59	63402552-1706-41b4-9c76-545f65486d59/jhu-usc.edu_GBM.HumanMethylation27.2.lvl-3.TCGA-14-0787-01A-01D-0392-05.gdc_hg38.txt	3f90335c211f17146a98cd758c51a3a8	9952587	live
698c84ad-4045-4920-8c30-1e157aeaecad	698c84ad-4045-4920-8c30-1e157aeaecad/jhu-usc.edu_GBM.HumanMethylation27.2.lvl-3.TCGA-14-0871-01A-01D-0392-05.gdc_hg38.txt	253ae4bbd2ab2335bd520904de7ea550	9957908	live
6a17707f-d0a4-4ba3-b4b7-0e57ddcc87ab	6a17707f-d0a4-4ba3-b4b7-0e57ddcc87ab/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-19-2625-01A-01D-0915-05.gdc_hg38.txt	4648ea531c2c99db64e99089ad1cc02e	9951768	live
7046a29a-384a-4dc8-9f2b-1b0005111c79	7046a29a-384a-4dc8-9f2b-1b0005111c79/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-27-2528-01A-01D-0788-05.gdc_hg38.txt	6a9925c7552616080b64cc28f1a8debb	9953672	live
71315e7c-7088-4159-abfe-9e81d5b64bdf	71315e7c-7088-4159-abfe-9e81d5b64bdf/jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-32-1980-01A-01D-1697-05.gdc_hg38.txt	2805c831f58800925a5e48d85153648c	141295067	live
7532b93c-7741-42fb-9c7b-a8aa538a5f0d	7532b93c-7741-42fb-9c7b-a8aa538a5f0d/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-28-1753-01A-01D-0788-05.gdc_hg38.txt	c8d91366659ff706dba87af13ae67651	9952759	live
77ef0609-b85f-4977-b38c-787c5e1b695d	77ef0609-b85f-4977-b38c-787c5e1b695d/jhu-usc.edu_GBM.HumanMethylation27.7.lvl-3.TCGA-06-0130-01A-01D-0218-05.gdc_hg38.txt	eabf8ae5eafae85b708ad3d73d577ce3	9950833	live
78f291c6-73f7-450e-a788-f73da3804970	78f291c6-73f7-450e-a788-f73da3804970/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-27-2523-01A-01D-0788-05.gdc_hg38.txt	27ce6c023d7244af696820f0dfa75fbd	9952710	live
7f04e41e-5677-4b25-8238-16897956808c	7f04e41e-5677-4b25-8238-16897956808c/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-32-2632-01A-01D-0915-05.gdc_hg38.txt	110a71851a5cf5f79b05bfabb778ef54	9952184	live
7fdef01a-9b44-43c3-bd80-6520fd8111d8	7fdef01a-9b44-43c3-bd80-6520fd8111d8/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-76-4929-01A-01D-1481-05.gdc_hg38.txt	af61a68bf3b806105a5ed619597450ca	141292191	live
82481d85-7865-4cf3-b4c3-3b0fc5040b25	82481d85-7865-4cf3-b4c3-3b0fc5040b25/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-27-2521-01A-01D-0788-05.gdc_hg38.txt	0e296fcc828f34a5001b19fd8e1fc53b	9952962	live
84f29080-2327-4a07-955c-a4bf0fc4caab	84f29080-2327-4a07-955c-a4bf0fc4caab/jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-15-1444-01A-02D-1697-05.gdc_hg38.txt	eb48d970352285f88300edc3fdcf143d	141286512	live
883a4c78-87d7-42ac-b035-93012f0bb81f	883a4c78-87d7-42ac-b035-93012f0bb81f/jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-5413-01A-01D-1697-05.gdc_hg38.txt	4b3ee24047e9eb6c8bc2d0ca627625b0	141292083	live
8992f9b6-23fe-4829-901c-9eac5e2e6777	8992f9b6-23fe-4829-901c-9eac5e2e6777/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-12-5299-01A-02D-1481-05.gdc_hg38.txt	2285826bd48f4ba260178618290284d1	141286667	live
8a970d70-4c84-48b6-9d5a-8414624b6747	8a970d70-4c84-48b6-9d5a-8414624b6747/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-32-2615-01A-01D-0915-05.gdc_hg38.txt	bb017051241b47b8f674efb81d897740	9952161	live
8be27dd1-b596-46a1-b6d0-228561c4c717	8be27dd1-b596-46a1-b6d0-228561c4c717/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-32-1970-01A-01D-0788-05.gdc_hg38.txt	0dfe7637d93d5ecb28305a620193d0a8	9953104	live
8ce428ff-1b04-464a-af70-8ad69f4faeae	8ce428ff-1b04-464a-af70-8ad69f4faeae/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-28-5207-01A-01D-1481-05.gdc_hg38.txt	37e846c7f7b5b614e63a7465dc0a4475	141298393	live
9410a282-6e98-49b6-b941-21df710de5a1	9410a282-6e98-49b6-b941-21df710de5a1/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-02-2485-01A-01D-0788-05.gdc_hg38.txt	909c76637a6b373dbd1f6964c8f9839a	9952674	live
